[000355/001000] L_error: 0.0775741339 	 S_error: 0.0512441769 
[000356/001000] L_error: 0.0775529966 	 S_error: 0.0512429550 
[000357/001000] L_error: 0.0775324702 	 S_error: 0.0512428656 
[000358/001000] L_error: 0.0775123015 	 S_error: 0.0512433834 
[000359/001000] L_error: 0.0774926245 	 S_error: 0.0512558706 
[000360/001000] L_error: 0.0774729550 	 S_error: 0.0512572899 
[000361/001000] L_error: 0.0774539039 	 S_error: 0.0512570143 
[000362/001000] L_error: 0.0774346069 	 S_error: 0.0512394123 
[000363/001000] L_error: 0.0774157792 	 S_error: 0.0512395315 
[000364/001000] L_error: 0.0773967206 	 S_error: 0.0512482002 
[000365/001000] L_error: 0.0773789883 	 S_error: 0.0512503535 
[000366/001000] L_error: 0.0773616433 	 S_error: 0.0512454063 
[000367/001000] L_error: 0.0773442835 	 S_error: 0.0512435213 
[000368/001000] L_error: 0.0773270503 	 S_error: 0.0512387753 
[000369/001000] L_error: 0.0773098320 	 S_error: 0.0512309894 
[000370/001000] L_error: 0.0772930831 	 S_error: 0.0512351096 
[000371/001000] L_error: 0.0772761106 	 S_error: 0.0512416996 
[000372/001000] L_error: 0.0772597492 	 S_error: 0.0512603335 
[000373/001000] L_error: 0.0772434846 	 S_error: 0.0512651950 
[000374/001000] L_error: 0.0772275999 	 S_error: 0.0512492433 
[000375/001000] L_error: 0.0772125721 	 S_error: 0.0512486733 
[000376/001000] L_error: 0.0771974176 	 S_error: 0.0512447283 
[000377/001000] L_error: 0.0771826208 	 S_error: 0.0512446277 
[000378/001000] L_error: 0.0771676004 	 S_error: 0.0512303114 
[000379/001000] L_error: 0.0771534294 	 S_error: 0.0512500219 
[000380/001000] L_error: 0.0771392658 	 S_error: 0.0512341969 
[000381/001000] L_error: 0.0771249682 	 S_error: 0.0512290746 
[000382/001000] L_error: 0.0771111622 	 S_error: 0.0512386300 
[000383/001000] L_error: 0.0770976990 	 S_error: 0.0512409993 
[000384/001000] L_error: 0.0770837814 	 S_error: 0.0512562878 
[000385/001000] L_error: 0.0770704597 	 S_error: 0.0512559786 
[000386/001000] L_error: 0.0770575106 	 S_error: 0.0512454771 
[000387/001000] L_error: 0.0770443156 	 S_error: 0.0512592457 
[000388/001000] L_error: 0.0770318508 	 S_error: 0.0512604341 
[000389/001000] L_error: 0.0770197511 	 S_error: 0.0512545519 
[000390/001000] L_error: 0.0770075321 	 S_error: 0.0512670390 
[000391/001000] L_error: 0.0769950673 	 S_error: 0.0512544848 
[000392/001000] L_error: 0.0769829750 	 S_error: 0.0512426309 
[000393/001000] L_error: 0.0769713596 	 S_error: 0.0512347184 
[000394/001000] L_error: 0.0769601166 	 S_error: 0.0512441397 
[000395/001000] L_error: 0.0769486427 	 S_error: 0.0512471981 
[000396/001000] L_error: 0.0769376457 	 S_error: 0.0512482226 
[000397/001000] L_error: 0.0769272447 	 S_error: 0.0512503795 
[000398/001000] L_error: 0.0769162551 	 S_error: 0.0512357317 
[000399/001000] L_error: 0.0769057274 	 S_error: 0.0512436293 
[000400/001000] L_error: 0.0768948793 	 S_error: 0.0512508117 
[000401/001000] L_error: 0.0768847167 	 S_error: 0.0512475297 
[000402/001000] L_error: 0.0768750608 	 S_error: 0.0512353405 
[000403/001000] L_error: 0.0768652707 	 S_error: 0.0512476265 
[000404/001000] L_error: 0.0768548846 	 S_error: 0.0512340739 
[000405/001000] L_error: 0.0768452287 	 S_error: 0.0512327701 
[000406/001000] L_error: 0.0768352076 	 S_error: 0.0512554571 
[000407/001000] L_error: 0.0768260211 	 S_error: 0.0512273535 
[000408/001000] L_error: 0.0768164843 	 S_error: 0.0512323529 
[000409/001000] L_error: 0.0768069625 	 S_error: 0.0512420461 
[000410/001000] L_error: 0.0767977908 	 S_error: 0.0512524992 
